TP1,TP2,KC(km)
HaNoi,ThaiNguyen,74.56 
HaNoi,VinhPhuc,61.9 
HaNoi,HaNam,63.7
HaNoi,HoaBinh,69.94 
HaNoi,BacGiang,52.51 
HaNoi,BacNinh,31.32 
HaNoi,HungYen,56.2 
HaNoi,PhuTho,84.1 
,.,
LaoCai,YenBai,154.19 
LaoCai,HaGiang,135.49 
LaoCai,LaiChau,111.51 
,.,
YenBai,LaoCai,154.19 
YenBai,TuyenQuang,45.72 
YenBai,HaGiang,151.89 
YenBai,PhuTho,87.16 
YenBai,SonLa,130.47 
YenBai,LaiChau,219.69 
,.,
DienBien,SonLa,110.1 
DienBien,LaiChau,92.3
,.,
HoaBinh,PhuTho,77.4 
HoaBinh,HaNam,79.87 
HoaBinh,NinhBinh,109.11
HoaBinh,HaNoi,69.94 
HoaBinh,SonLa,191.22 
,.,
LaiChau,LaoCai,111.51 
LaiChau,YenBai,219.69 
LaiChau,DienBien,77.55
LaiChau,SonLa,207 
,.,
SonLa,YenBai,130.47 
SonLa,DienBien,110.1 
SonLa,LaiChau,207 
SonLa,PhuTho,190.32 
SonLa,HoaBinh,191.22 
,.,
HaGiang,CaoBang,157.47 
HaGiang,TuyenQuang,137.86 
HaGiang,LaoCai,135.49 
HaGiang,YenBai,151.89 
,.,
CaoBang,HaGiang,157.47 
CaoBang,TuyenQuang,170.03 
CaoBang,BacKan,72.28 
CaoBang,LangSon,126.19 
,.,
BacKan,LangSon,121.99 
BacKan,TuyenQuang,98.14 
BacKan,ThaiNguyen,87.92 
BacKan,CaoBang,72.28 
,.,
LangSon,CaoBang,126.19 
LangSon,QuangNinh,125.14 
LangSon,BacGiang,100.44 
LangSon,ThaiNguyen,114.78 
LangSon,BacKan,121.99 
,.,
TuyenQuang,BacKan,98.14 
TuyenQuang,ThaiNguyen,82.77 
TuyenQuang,HaGiang,137.86 
TuyenQuang,CaoBang,170.03 
TuyenQuang,YenBai,45.72 
TuyenQuang,VinhPhuc,82.38 
TuyenQuang,PhuTho,73.8 
,.,
ThaiNguyen,BacKan,87.92 
ThaiNguyen,VinhPhuc,47.81 
ThaiNguyen,TuyenQuang,82.77 
ThaiNguyen,LangSon,114.78 
ThaiNguyen,BacGiang,87 
ThaiNguyen,HaNoi,74.56 
,.,
PhuTho,TuyenQuang,73.8 
PhuTho,YenBai,87.16 
PhuTho,HoaBinh,77.4 
PhuTho,HaNoi,84.1 
PhuTho,VinhPhuc,42.1 
PhuTho,SonLa,190.32 
,.,
BacGiang,LangSon,100.44 
BacGiang,HaNoi,52.51 
BacGiang,ThaiNguyen,87 
BacGiang,BacNinh,21.34 
BacGiang,HaiDuong,57.2 
BacGiang,QuangNinh,117.26 
,.,
QuangNinh,HaiDuong,105 
QuangNinh,HaiPhong,50.4 
QuangNinh,BacGiang,117.26 
QuangNinh,LangSon,125.14 
,.,
BacNinh,BacGiang,21.34 
BacNinh,HaiDuong,46.32 
BacNinh,HungYen,70.59 
BacNinh,HaNoi,31.32 
,.,
HaNam,HaNoi,63.7
HaNam,HungYen,23.58 
HaNam,ThaiBinh,52.87 
HaNam,NamDinh,35.12 
HaNam,NinhBinh,46.6 
HaNam,HoaBinh,79.87 
,.,
HaiDuong,BacNinh,46.32 
HaiDuong,BacGiang,57.2 
HaiDuong,QuangNinh,105 
HaiDuong,ThaiBinh,63.99 
HaiDuong,HungYen,48.18 
HaiDuong,HaiPhong,45.88 
,.,
HaiPhong,QuangNinh,50.4 
HaiPhong,HaiDuong,45.88 
HaiPhong,ThaiBinh,59.1
,.,
HungYen,HaiDuong,48.18 
HungYen,HaNoi,56.2 
HungYen,HaNam,23.58 
HungYen,ThaiBinh,56.9 
HungYen,BacNinh,70.59 
,.,
NamDinh,ThaiBinh,20.84 
NamDinh,NinhBinh,31.85 
NamDinh,HaNam,35.12 
,.,
NinhBinh,NamDinh,31.85 
NinhBinh,HaNam,46.6 
NinhBinh,HoaBinh,109.11
,.,
ThaiBinh,HaiDuong,63.99 
ThaiBinh,HungYen,56.9 
ThaiBinh,HaiPhong,59.1 
ThaiBinh,NamDinh,20.84 
ThaiBinh,HaNam,52.87 
,.,
VinhPhuc,TuyenQuang,82.38 
VinhPhuc,ThaiNguyen,1094.48 
VinhPhuc,PhuTho,42.1 
VinhPhuc,HaNoi,61.9 
